ean,codigo,descricao,quant. imagens,importado
7898350000000,1030918,AMACIANTE P/CARNE IMPERIAL 500ML,0,Sim
7406,1496271,AMACIANTE P/CARNE MAGGI 120G,0,Sim
80028,1496273,AMACIANTE SONHO AZUL PROF 12X500ML  ,0,Sim
80029,1496275,AMACIANTE SONHO COCO/AMEND 12X500ML ,0,Sim
80030,1496277,AMACIANTE SONHO LAVANDA 12X500ML,0,Sim
80031,1496279,AMACIANTE SONHO MAGIC 12X500ML,0,Sim
80032,1496281,AMACIANTE SONHO PAIXAO 12X500ML,0,Sim
77347,1496283,AMACIANTE UAU CARINHO E CONFORTO 500ML,0,Sim
78009,1496285,AMACIANTE UAU FLORES E SONHOS 500ML,0,Sim
77348,1496287,AMACIANTE UAU LAVANDA E FRESCOR 500ML,0,Sim
77349,1496289,AMACIANTE UAU ROSAS E SEDUCAO 500ML,0,Sim
7891240000000,1030819,AMACIANTE UAU ROSAS E SEDUCAO 500ML,0,Sim
7898810000000,1489116,AMACIANTE VALOR MAGIA AZUL 2L,0,Sim
7896098902400,420072,AMACIANTE YPE ACONCHEGO AZUL 2L,21,Sim
13727,1496292,AMACIANTE YPE ACONCHEGO AZUL 500ML,0,Sim
13741,1496294,AMACIANTE YPE AMOR/DELICADO 2L,0,Sim
168430,1496296,AMACIANTE YPE INTENSO 2L,0,Sim
7896098902417,420074,AMACIANTE YPE TERNURA 2L,19,Sim
43292,1278137,AMEIXA EM CALDA ODERICH 150G***,0,Sim
789606000000,1488746,AMENDOIN DORI CHOCO/COLORIDO 40G,0,Sim
851400,1496300,AMONIACO ALYNE 100ML,0,Sim
70330721838,438424,APARELHO BIC COMFORT2 SENS. 5X1,10,Sim
7501840000000,1488796,APARELHO BIC FLEX3 HIBRID +5CARG,0,Sim
7033070362,1496302,APARELHO DE BARBEAR BIC,0,Sim
70330703629,544497,APARELHO DE BARBEAR BIC,7,Sim
42060,1288043,APARELHO DE BARBEAR BIC ACQUA 3 LAMINAS,1,Sim
5107,751109,APERITIVO CAMPARI ,5,Sim
42452,1278262,ARAME FARPADO FLUX 250M,1,Sim
7899190000000,1489211,ARAME FARPADO FORTTE 500M,0,Sim
